zone,left,top,right,bottom
3000,0,111,30,95
3100,30,111,40,95
3110,40,111,50,95
3120,50,111,74,95
3130,74,111,94,95
3140,94,111,104,95
3150,104,111,114,95
3160,114,111,133,95
3200,0,95,16,70
3210,0,70,15,60
3220,0,60,15,36
3230,0,36,16,24
3300,0,24,16,0
3310,16,15,28,0
3320,28,15,48,0
3330,48,15,78,0
3340,78,15,88,0
3350,88,15,107,0
3360,107,15,118,0
3370,118,15,137,0
3400,21,89,36,79
3410,21,79,36,67
3420,21,67,36,57
3430,21,56,37,47
3440,21,47,37,22
3450,37,46,44,29
3460,37,29,44,21
3500,73,89,80,80
3505,79,89,86,80
3510,80,80,87,70
3515,73,79,80,70
3520,92,89,99,80
3525,99,90,105,80
3530,99,80,105,70
3535,92,80,99,70
3540,111,89,118,80
3545,118,90,124,80
3550,117,80,124,70
3555,111,80,117,70
3600,93,65,118,55
3700,75,45,118,21
elevators/stairs,37,65,52,45
future expansion,133,111,189,16
future expansion,137,16,189,0
mech/elev,67,65,93,45
toilet,93,55,118,45
