zone,left,top,right,bottom
1,0,111,20,95
10,72,90,143,70
11,148,90,169,70
12a,143,90,148,69
12a,16,95,173,90
12a,16,90,21,67
12a,168,91,174,69
12a,37,70,174,67
12a,57,90,63,79
12a,62,90,72,70
12b,16,68,21,45
12b,168,65,174,45
12b,37,68,67,45
12b,67,67,174,65
12b,93,65,154,45
12c,118,45,123,21
12c,123,45,174,41
12c,16,45,21,16
12c,168,41,173,21
12c,20,21,174,16
12c,45,45,75,21
13,67,65,93,45
14,75,45,118,21
15,154,65,169,45
16,123,41,169,20
2,20,111,173,94
3,173,111,189,91
4,173,91,189,16
5,169,16,189,0
6,15,16,169,0
7,0,20,16,0
8,0,95,16,20
9,21,90,37,21
9,37,90,57,70
9,37,46,45,21
9,57,79,62,70
